#velocity    Tmb
#km/s         K
    83.886    -0.090
    83.809    -0.065
    83.731    -0.039
    83.679    -0.028
    83.601    -0.022
    83.524    -0.010
    83.446     0.004
    83.368     0.015
    83.291     0.024
    83.213     0.009
    83.135    -0.035
    83.057    -0.053
    82.980    -0.011
    82.902     0.031
    82.824     0.045
    82.747     0.067
    82.669     0.079
    82.591     0.057
    82.513     0.040
    82.436     0.057
    82.358     0.090
    82.280     0.108
    82.203     0.104
    82.125     0.097
    82.047     0.083
    81.969     0.053
    81.892     0.035
    81.814     0.048
    81.736     0.065
    81.659     0.079
    81.581     0.111
    81.503     0.133
    81.425     0.087
    81.348     0.005
    81.270    -0.038
    81.192    -0.029
    81.115     0.010
    81.037     0.044
    80.959     0.038
    80.882    -0.003
    80.804    -0.028
    80.726    -0.009
    80.648     0.030
    80.571     0.052
    80.493     0.052
    80.415     0.056
    80.338     0.085
    80.260     0.094
    80.182     0.060
    80.104     0.020
    80.027     0.007
    79.949     0.021
    79.871     0.015
    79.819    -0.039
    79.742    -0.072
    79.664    -0.039
    79.586     0.011
    79.509     0.025
    79.431    -0.001
    79.353    -0.045
    79.276    -0.059
    79.198    -0.023
    79.120     0.025
    79.042     0.038
    78.965     0.017
    78.887    -0.003
    78.809    -0.029
    78.732    -0.072
    78.654    -0.089
    78.576    -0.086
    78.498    -0.095
    78.421    -0.096
    78.343    -0.068
    78.265    -0.015
    78.188     0.026
    78.110    -0.008
    78.032    -0.082
    77.954    -0.106
    77.877    -0.092
    77.799    -0.066
    77.721    -0.022
    77.644     0.010
    77.566     0.024
    77.488     0.034
    77.410     0.022
    77.333    -0.008
    77.255    -0.040
    77.177    -0.065
    77.100    -0.070
    77.022    -0.046
    76.944     0.016
    76.866     0.097
    76.789     0.124
    76.711     0.078
    76.633     0.015
    76.556    -0.022
    76.478    -0.019
    76.400    -0.002
    76.323    -0.012
    76.245    -0.035
    76.167    -0.026
    76.089    -0.012
    76.012    -0.031
    75.934    -0.051
    75.882    -0.052
    75.804    -0.051
    75.727    -0.040
    75.649    -0.013
    75.571     0.007
    75.494     0.006
    75.416     0.001
    75.338     0.024
    75.260     0.041
    75.183     0.001
    75.105    -0.043
    75.027    -0.014
    74.950     0.049
    74.872     0.059
    74.794     0.042
    74.717     0.059
    74.639     0.052
    74.561    -0.025
    74.483    -0.078
    74.406    -0.039
    74.328     0.030
    74.250     0.045
    74.173     0.021
    74.095    -0.002
    74.017    -0.019
    73.939    -0.027
    73.862    -0.027
    73.784    -0.029
    73.706    -0.017
    73.629    -0.005
    73.551    -0.026
    73.473    -0.049
    73.395    -0.038
    73.318    -0.006
    73.240     0.018
    73.162     0.007
    73.085    -0.013
    73.007    -0.005
    72.929     0.014
    72.851     0.013
    72.774    -0.012
    72.696    -0.048
    72.618    -0.073
    72.541    -0.064
    72.463    -0.024
    72.385    -0.015
    72.307    -0.069
    72.230    -0.106
    72.152    -0.074
    72.074    -0.037
    72.023    -0.046
    71.945    -0.080
    71.867    -0.070
    71.789     0.024
    71.712     0.126
    71.634     0.149
    71.556     0.094
    71.479     0.009
    71.401    -0.037
    71.323    -0.033
    71.245    -0.027
    71.168    -0.018
    71.090     0.017
    71.012     0.048
    70.935     0.028
    70.857    -0.037
    70.779    -0.095
    70.701    -0.121
    70.624    -0.098
    70.546    -0.043
    70.468    -0.029
    70.391    -0.066
    70.313    -0.079
    70.235    -0.062
    70.157    -0.066
    70.080    -0.078
    70.002    -0.071
    69.924    -0.054
    69.847    -0.022
    69.769     0.006
    69.691    -0.005
    69.614    -0.016
    69.536     0.011
    69.458     0.027
    69.380     0.002
    69.303    -0.019
    69.225    -0.028
    69.147    -0.049
    69.070    -0.052
    68.992    -0.009
    68.914     0.026
    68.836    -0.001
    68.759    -0.052
    68.681    -0.066
    68.603    -0.046
    68.526    -0.031
    68.448    -0.025
    68.370    -0.006
    68.292     0.019
    68.215     0.023
    68.137    -0.003
    68.085    -0.039
    68.008    -0.055
    67.930    -0.037
    67.852    -0.005
    67.774     0.028
    67.697     0.061
    67.619     0.059
    67.541    -0.003
    67.464    -0.060
    67.386    -0.055
    67.308    -0.052
    67.230    -0.098
    67.153    -0.140
    67.075    -0.142
    66.997    -0.122
    66.920    -0.115
    66.842    -0.114
    66.764    -0.075
    66.686    -0.035
    66.609    -0.044
    66.531    -0.061
    66.453    -0.064
    66.376    -0.066
    66.298    -0.058
    66.220    -0.056
    66.142    -0.075
    66.065    -0.090
    65.987    -0.090
    65.909    -0.077
    65.832    -0.058
    65.754    -0.037
    65.676    -0.010
    65.598     0.002
    65.521    -0.020
    65.443    -0.051
    65.365    -0.069
    65.288    -0.073
    65.210    -0.071
    65.132    -0.076
    65.055    -0.094
    64.977    -0.096
    64.899    -0.074
    64.821    -0.049
    64.744    -0.027
    64.666    -0.008
    64.588     0.000
    64.511    -0.008
    64.433    -0.015
    64.355    -0.001
    64.277     0.007
    64.226    -0.001
    64.148    -0.010
    64.070    -0.027
    63.992    -0.055
    63.915    -0.075
    63.837    -0.068
    63.759    -0.032
    63.682     0.001
    63.604     0.006
    63.526    -0.005
    63.449    -0.018
    63.371    -0.043
    63.293    -0.063
    63.215    -0.075
    63.138    -0.080
    63.060    -0.026
    62.982     0.062
    62.905     0.065
    62.827     0.001
    62.749    -0.022
    62.671    -0.019
    62.594    -0.035
    62.516    -0.025
    62.438     0.033
    62.361     0.079
    62.283     0.078
    62.205     0.073
    62.127     0.093
    62.050     0.093
    61.972     0.047
    61.894     0.019
    61.817     0.037
    61.739     0.043
    61.661     0.032
    61.583     0.054
    61.506     0.083
    61.428     0.084
    61.350     0.087
    61.273     0.101
    61.195     0.105
    61.117     0.112
    61.039     0.134
    60.962     0.138
    60.884     0.082
    60.806     0.003
    60.729    -0.016
    60.651     0.022
    60.573     0.028
    60.496    -0.006
    60.418    -0.019
    60.340     0.014
    60.288     0.069
    60.211     0.108
    60.133     0.117
    60.055     0.121
    59.977     0.132
    59.900     0.145
    59.822     0.154
    59.744     0.146
    59.667     0.108
    59.589     0.055
    59.511     0.023
    59.433     0.022
    59.356     0.048
    59.278     0.071
    59.200     0.056
    59.123     0.038
    59.045     0.061
    58.967     0.097
    58.890     0.123
    58.812     0.155
    58.734     0.189
    58.656     0.205
    58.579     0.197
    58.501     0.163
    58.423     0.128
    58.346     0.128
    58.268     0.152
    58.190     0.168
    58.112     0.166
    58.035     0.169
    57.957     0.212
    57.879     0.265
    57.802     0.268
    57.724     0.221
    57.646     0.170
    57.568     0.135
    57.491     0.119
    57.413     0.133
    57.335     0.157
    57.258     0.149
    57.180     0.102
    57.102     0.061
    57.024     0.051
    56.947     0.034
    56.869    -0.002
    56.791    -0.010
    56.714     0.008
    56.636     0.004
    56.558    -0.016
    56.480    -0.018
    56.403    -0.011
    56.351    -0.010
    56.273    -0.009
    56.196     0.001
    56.118     0.029
    56.040     0.071
    55.962     0.094
    55.885     0.072
    55.807     0.023
    55.729    -0.020
    55.652    -0.060
    55.574    -0.100
    55.496    -0.107
    55.418    -0.079
    55.341    -0.052
    55.263    -0.047
    55.185    -0.041
    55.108    -0.014
    55.030     0.011
    54.952     0.008
    54.874    -0.002
    54.797    -0.004
    54.719    -0.028
    54.641    -0.077
    54.564    -0.107
    54.486    -0.071
    54.408     0.005
    54.331     0.040
    54.253     0.009
    54.175    -0.046
    54.097    -0.077
    54.020    -0.066
    53.942    -0.036
    53.864    -0.032
    53.787    -0.048
    53.709    -0.034
    53.631     0.006
    53.553     0.034
    53.476     0.030
    53.398     0.004
    53.320    -0.013
    53.243    -0.006
    53.165     0.016
    53.087     0.038
    53.009     0.034
    52.932     0.014
    52.854     0.028
    52.776     0.050
    52.699     0.023
    52.621    -0.036
    52.543    -0.096
    52.491    -0.129
    52.414    -0.091
    52.336    -0.019
    52.258     0.003
    52.181    -0.006
    52.103     0.013
    52.025     0.042
    51.947     0.044
    51.870     0.047
    51.792     0.072
    51.714     0.106
    51.637     0.120
